ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;10;34
1;4;70;80
1;5;52;65
1;6;49;64
1;7;84;98
1;8;40;59
1;9;16;36
1;10;55;74
1;11;18;37
1;12;53;70
1;13;60;70
1;14;47;62
1;15;84;98
1;16;44;61
1;17;44;61
1;18;45;61
1;19;39;57
1;20;28;46
1;21;50;63
1;22;43;62
1;2;999;999
2;1;999;999
2;3;999;999
2;4;999;999
2;5;999;999
2;6;999;999
2;7;999;999
2;8;999;999
2;9;999;999
2;10;999;999
2;11;999;999
2;12;999;999
2;13;999;999
2;14;999;999
2;15;999;999
2;16;999;999
2;17;999;999
2;18;999;999
2;19;999;999
2;20;999;999
2;21;999;999
2;22;999;999
2;2;999;999
3;1;10;35
3;3;0;0
3;4;71;86
3;5;53;70
3;6;50;70
3;7;85;103
3;8;36;61
3;9;14;37
3;10;48;65
3;11;27;50
3;12;54;75
3;13;61;75
3;14;48;67
3;15;85;103
3;16;37;53
3;17;45;68
3;18;46;66
3;19;40;62
3;20;21;38
3;21;51;68
3;22;46;70
3;2;10;35
4;1;67;79
4;3;71;84
4;4;0;0
4;5;20;39
4;6;23;43
4;7;56;72
4;8;46;65
4;9;58;71
4;10;59;74
4;11;89;88
4;12;26;45
4;13;19;40
4;14;28;45
4;15;54;71
4;16;58;70
4;17;39;55
4;18;29;52
4;19;41;59
4;20;72;84
4;21;24;44
4;22;32;57
4;2;67;79
5;1;49;62
5;3;52;67
5;4;21;40
5;5;0;0
5;6;5;26
5;7;47;66
5;8;28;48
5;9;39;54
5;10;41;57
5;11;66;76
5;12;8;28
5;13;11;30
5;14;8;28
5;15;47;66
5;16;39;53
5;17;21;38
5;18;11;35
5;19;22;42
5;20;53;67
5;21;5;27
5;22;23;40
5;2;49;62
6;1;47;62
6;3;50;68
6;4;26;46
6;5;6;27
6;6;0;0
6;7;48;69
6;8;25;47
6;9;37;54
6;10;41;59
6;11;64;77
6;12;8;28
6;13;16;36
6;14;4;24
6;15;48;68
6;16;40;56
6;17;15;35
6;18;9;32
6;19;17;39
6;20;48;68
6;21;4;26
6;22;18;37
6;2;47;62
7;1;84;94
7;3;87;100
7;4;55;67
7;5;48;65
7;6;48;66
7;7;0;0
7;8;51;68
7;9;74;86
7;10;50;71
7;11;101;109
7;12;55;71
7;13;56;70
7;14;46;62
7;15;2;22
7;16;58;73
7;17;57;71
7;18;53;69
7;19;59;74
7;20;72;86
7;21;46;63
7;22;60;73
7;2;84;94
8;1;39;57
8;3;39;62
8;4;44;63
8;5;26;47
8;6;23;47
8;7;48;68
8;8;0;0
8;9;30;50
8;10;15;37
8;11;56;72
8;12;29;52
8;13;33;53
8;14;21;44
8;15;48;68
8;16;13;34
8;17;25;49
8;18;21;45
8;19;21;44
8;20;27;47
8;21;22;45
8;22;27;51
8;2;39;57
9;1;14;34
9;3;13;34
9;4;59;71
9;5;41;56
9;6;38;55
9;7;73;89
9;8;26;48
9;9;0;0
9;10;41;64
9;11;32;49
9;12;42;61
9;13;49;61
9;14;36;53
9;15;73;89
9;16;38;56
9;17;33;53
9;18;33;52
9;19;28;48
9;20;22;41
9;21;38;54
9;22;38;57
9;2;14;34
10;1;53;74
10;3;47;64
10;4;58;76
10;5;41;60
10;6;37;61
10;7;49;74
10;8;16;40
10;9;44;67
10;10;0;0
10;11;71;89
10;12;44;66
10;13;48;65
10;14;36;58
10;15;49;74
10;16;12;33
10;17;41;64
10;18;35;61
10;19;33;61
10;20;26;46
10;21;38;58
10;22;44;67
10;2;53;74
11;1;19;41
11;3;25;49
11;4;78;80
11;5;70;76
11;6;67;73
11;7;107;111
11;8;55;74
11;9;31;51
11;10;70;89
11;11;0;0
11;12;66;72
11;13;78;78
11;14;64;69
11;15;107;111
11;16;59;76
11;17;54;60
11;18;58;66
11;19;57;65
11;20;43;62
11;21;67;73
11;22;53;61
11;2;19;41
12;1;58;68
12;3;61;74
12;4;20;41
12;5;10;29
12;6;7;28
12;7;57;73
12;8;32;54
12;9;48;61
12;10;50;64
12;11;77;82
12;12;0;0
12;13;10;30
12;14;11;31
12;15;57;73
12;16;48;60
12;17;13;35
12;18;10;32
12;19;22;42
12;20;62;74
12;21;11;32
12;22;15;35
12;2;58;68
13;1;56;68
13;3;59;73
13;4;15;36
13;5;8;28
13;6;12;32
13;7;55;72
13;8;35;54
13;9;47;60
13;10;48;63
13;11;73;82
13;12;15;34
13;13;0;0
13;14;16;34
13;15;55;72
13;16;46;60
13;17;28;44
13;18;18;41
13;19;29;48
13;20;60;73
13;21;12;33
13;22;31;46
13;2;56;68
14;1;43;60
14;3;46;66
14;4;29;47
14;5;7;29
14;6;4;26
14;7;46;67
14;8;21;45
14;9;33;52
14;10;39;58
14;11;60;75
14;12;11;31
14;13;19;36
14;14;0;0
14;15;46;67
14;16;38;54
14;17;12;31
14;18;8;28
14;19;13;35
14;20;44;66
14;21;4;26
14;22;15;33
14;2;43;60
15;1;82;93
15;3;86;99
15;4;55;68
15;5;47;64
15;6;47;65
15;7;3;24
15;8;50;67
15;9;73;85
15;10;49;70
15;11;100;108
15;12;54;70
15;13;55;69
15;14;45;61
15;15;0;0
15;16;56;72
15;17;55;70
15;18;52;68
15;19;57;74
15;20;70;85
15;21;44;62
15;22;58;72
15;2;82;93
16;1;50;66
16;3;40;56
16;4;56;69
16;5;38;53
16;6;35;54
16;7;53;72
16;8;11;33
16;9;40;59
16;10;11;32
16;11;67;81
16;12;41;59
16;13;45;58
16;14;33;51
16;15;54;72
16;16;0;0
16;17;39;57
16;18;34;55
16;19;32;54
16;20;19;38
16;21;35;51
16;22;42;60
16;2;50;66
17;1;44;60
17;3;48;65
17;4;39;54
17;5;17;37
17;6;14;34
17;7;54;72
17;8;23;45
17;9;35;52
17;10;39;59
17;11;66;72
17;12;13;34
17;13;28;43
17;14;11;30
17;15;54;72
17;16;38;56
17;17;0;0
17;18;5;26
17;19;7;29
17;20;46;66
17;21;14;34
17;22;5;27
17;2;44;60
18;1;43;60
18;3;46;66
18;4;30;52
18;5;12;36
18;6;9;32
18;7;52;72
18;8;21;45
18;9;33;52
18;10;38;60
18;11;70;75
18;12;9;31
18;13;19;41
18;14;8;30
18;15;52;72
18;16;36;56
18;17;7;28
18;18;0;0
18;19;10;33
18;20;44;66
18;21;9;32
18;22;10;30
18;2;43;60
19;1;37;55
19;3;40;61
19;4;43;58
19;5;19;42
19;6;17;39
19;7;57;77
19;8;20;44
19;9;27;47
19;10;33;58
19;11;54;70
19;12;17;39
19;13;32;48
19;14;14;35
19;15;58;76
19;16;31;55
19;17;6;27
19;18;9;31
19;19;0;0
19;20;38;61
19;21;16;38
19;22;9;29
19;2;37;55
20;1;29;51
20;3;23;41
20;4;72;84
20;5;54;68
20;6;50;68
20;7;69;87
20;8;23;46
20;9;25;44
20;10;27;47
20;11;46;65
20;12;57;74
20;13;61;73
20;14;49;66
20;15;69;87
20;16;16;35
20;17;43;67
20;18;44;66
20;19;39;62
20;20;0;0
20;21;51;66
20;22;47;71
20;2;29;51
21;1;45;61
21;3;48;66
21;4;27;45
21;5;4;27
21;6;4;26
21;7;45;66
21;8;23;46
21;9;35;53
21;10;38;56
21;11;62;75
21;12;10;31
21;13;16;35
21;14;2;23
21;15;45;66
21;16;36;53
21;17;14;34
21;18;10;32
21;19;16;38
21;20;50;66
21;21;0;0
21;22;17;37
21;2;45;61
22;1;39;59
22;3;45;67
22;4;35;55
22;5;20;41
22;6;20;38
22;7;59;76
22;8;28;49
22;9;35;55
22;10;45;64
22;11;64;69
22;12;14;34
22;13;24;44
22;14;16;35
22;15;59;76
22;16;43;60
22;17;6;26
22;18;9;30
22;19;9;30
22;20;46;69
22;21;19;38
22;22;0;0
22;2;39;59
