ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;399;372
1;4;88;94
1;5;46;62
1;6;46;65
1;7;15;35
1;8;50;65
1;9;40;59
1;10;21;43
1;11;33;52
1;12;71;79
1;13;70;80
3;1;397;376
3;3;0;0
3;4;326;315
3;5;369;354
3;6;364;349
3;7;391;373
3;8;352;338
3;9;364;350
3;10;391;375
3;11;378;361
3;12;364;345
3;13;348;334
4;1;87;92
4;3;328;311
4;4;0;0
4;5;75;83
4;6;70;78
4;7;81;88
4;8;52;64
4;9;66;78
4;10;81;91
4;11;64;72
4;12;39;53
4;13;23;43
5;1;45;63
5;3;368;347
5;4;74;83
5;5;0;0
5;6;7;29
5;7;40;59
5;8;22;40
5;9;8;32
5;10;36;60
5;11;38;61
5;12;57;68
5;13;55;70
6;1;44;63
6;3;363;342
6;4;68;78
6;5;7;30
6;6;0;0
6;7;39;60
6;8;16;35
6;9;6;28
6;10;34;60
6;11;36;59
6;12;51;63
6;13;50;64
7;1;11;32
7;3;392;367
7;4;81;89
7;5;39;57
7;6;39;60
7;7;0;0
7;8;43;60
7;9;33;53
7;10;15;38
7;11;20;42
7;12;64;73
7;13;63;75
8;1;47;64
8;3;350;332
8;4;52;65
8;5;23;42
8;6;18;37
8;7;42;60
8;8;0;0
8;9;18;38
8;10;42;63
8;11;29;47
8;12;35;49
8;13;33;51
9;1;39;57
9;3;363;342
9;4;62;76
9;5;9;32
9;6;6;27
9;7;34;54
9;8;16;35
9;9;0;0
9;10;29;54
9;11;32;54
9;12;45;61
9;13;44;63
10;1;19;41
10;3;385;368
10;4;81;91
10;5;34;56
10;6;33;58
10;7;14;37
10;8;38;61
10;9;28;51
10;10;0;0
10;11;32;54
10;12;64;76
10;13;62;78
11;1;29;49
11;3;379;355
11;4;63;73
11;5;39;59
11;6;35;58
11;7;20;42
11;8;30;47
11;9;31;53
11;10;33;55
11;11;0;0
11;12;40;58
11;13;45;60
12;1;68;76
12;3;365;341
12;4;39;53
12;5;56;67
12;6;51;62
12;7;63;72
12;8;34;48
12;9;47;62
12;10;63;75
12;11;39;57
12;12;0;0
12;13;15;37
13;1;67;79
13;3;349;331
13;4;23;43
13;5;55;70
13;6;50;65
13;7;62;75
13;8;33;51
13;9;46;65
13;10;62;78
13;11;45;59
13;12;15;38
13;13;0;0
2;1;999;999
2;3;999;999
2;4;999;999
2;5;999;999
2;6;999;999
2;7;999;999
2;8;999;999
2;9;999;999
2;10;999;999
2;11;999;999
2;12;999;999
2;13;999;999
1;2;999;999
3;2;397;376
4;2;87;92
5;2;45;63
6;2;44;63
7;2;11;32
8;2;47;64
9;2;39;57
10;2;19;41
11;2;29;49
12;2;68;76
13;2;67;79
2;2;999;999
