ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;147;145
1;4;70;80
1;5;103;108
1;6;80;95
1;7;46;64
1;8;92;110
1;9;49;63
1;10;70;82
1;11;79;90
1;12;26;45
1;13;42;60
1;14;39;57
3;1;151;139
3;3;0;0
3;4;98;100
3;5;152;139
3;6;146;140
3;7;134;124
3;8;118;129
3;9;115;108
3;10;136;128
3;11;144;136
3;12;131;123
3;13;137;129
3;14;125;119
4;1;67;79
4;3;93;108
4;4;0;0
4;5;53;67
4;6;62;80
4;7;50;64
4;8;118;130
4;9;31;48
4;10;52;68
4;11;58;73
4;12;47;63
4;13;53;69
4;14;41;59
5;1;101;105
5;3;138;141
5;4;52;63
5;5;0;0
5;6;46;64
5;7;68;78
5;8;166;164
5;9;56;71
5;10;36;51
5;11;27;43
5;12;80;90
5;13;73;84
5;14;76;86
6;1;77;93
6;3;145;149
6;4;60;79
6;5;46;63
6;6;0;0
6;7;44;65
6;8;142;156
6;9;32;58
6;10;11;35
6;11;21;45
6;12;57;77
6;13;49;71
6;14;52;73
7;1;44;65
7;3;135;136
7;4;50;66
7;5;66;79
7;6;43;66
7;7;0;0
7;8;117;136
7;9;18;40
7;10;33;53
7;11;42;61
7;12;22;47
7;13;6;29
7;14;24;50
8;1;90;115
8;3;118;130
8;4;120;138
8;5;169;175
8;6;144;164
8;7;118;142
8;8;0;0
8;9;114;132
8;10;134;151
8;11;143;159
8;12;97;122
8;13;113;137
8;14;99;121
9;1;49;64
9;3;118;120
9;4;33;50
9;5;54;68
9;6;31;55
9;7;20;38
9;8;114;127
9;9;0;0
9;10;21;42
9;11;30;50
9;12;29;48
9;13;25;45
9;14;24;44
10;1;68;81
10;3;136;138
10;4;51;67
10;5;36;50
10;6;12;36
10;7;35;53
10;8;133;145
10;9;23;46
10;10;0;0
10;11;11;32
10;12;48;66
10;13;40;60
10;14;43;61
11;1;77;90
11;3;145;146
11;4;60;70
11;5;27;43
11;6;22;47
11;7;44;62
11;8;142;153
11;9;32;55
11;10;12;35
11;11;0;0
11;12;57;74
11;13;49;68
11;14;52;70
12;1;24;45
12;3;134;133
12;4;48;62
12;5;76;89
12;6;53;76
12;7;20;42
12;8;96;117
12;9;27;45
12;10;43;63
12;11;52;71
12;12;0;0
12;13;17;38
12;14;17;39
13;1;40;58
13;3;133;138
13;4;47;68
13;5;70;82
13;6;47;70
13;7;9;31
13;8;112;130
13;9;22;44
13;10;38;57
13;11;46;65
13;12;18;41
13;13;0;0
13;14;22;45
14;1;37;55
14;3;128;129
14;4;43;58
14;5;76;86
14;6;53;73
14;7;24;48
14;8;95;114
14;9;23;42
14;10;43;61
14;11;52;69
14;12;17;40
14;13;22;46
14;14;0;0
2;1;999;999
2;3;999;999
2;4;999;999
2;5;999;999
2;6;999;999
2;7;999;999
2;8;999;999
2;9;999;999
2;10;999;999
2;11;999;999
2;12;999;999
2;13;999;999
2;14;999;999
1;2;999;999
3;2;151;139
4;2;67;79
5;2;101;105
6;2;77;93
7;2;44;65
8;2;90;115
9;2;49;64
10;2;68;81
11;2;77;90
12;2;24;45
13;2;40;58
14;2;37;55
2;2;999;999
