ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;16;36
1;4;102;103
1;5;40;59
1;6;33;54
1;7;51;67
1;8;45;66
1;9;47;66
1;10;44;61
1;11;49;63
1;12;12;31
1;13;25;45
1;14;12;36
1;2;500;500
2;1;500;500
2;3;500;500
2;4;500;500
2;5;500;500
2;6;500;500
2;7;500;500
2;8;500;500
2;9;500;500
2;10;500;500
2;11;500;500
2;12;500;500
2;13;500;500
2;14;500;500
2;2;500;500
3;1;10;31
3;3;0;0
3;4;91;94
3;5;29;49
3;6;32;54
3;7;39;58
3;8;37;57
3;9;42;63
3;10;33;52
3;11;38;54
3;12;22;40
3;13;13;36
3;14;22;44
3;2;10;31
4;1;100;100
4;3;90;92
4;4;0;0
4;5;64;77
4;6;80;91
4;7;48;64
4;8;67;79
4;9;68;80
4;10;68;80
4;11;52;69
4;12;111;108
4;13;82;87
4;14;111;114
4;2;100;100
5;1;39;57
5;3;29;49
5;4;64;75
5;5;0;0
5;6;23;43
5;7;16;37
5;8;10;31
5;9;15;37
5;10;8;31
5;11;19;40
5;12;51;66
5;13;19;41
5;14;52;70
5;2;39;57
6;1;33;55
6;3;33;54
6;4;83;92
6;5;20;44
6;6;0;0
6;7;35;54
6;8;15;38
6;9;17;37
6;10;15;38
6;11;38;57
6;12;45;64
6;13;34;56
6;14;30;50
6;2;33;55
7;1;48;65
7;3;38;57
7;4;50;64
7;5;18;38
7;6;34;52
7;7;0;0
7;8;21;40
7;9;26;46
7;10;22;41
7;11;9;31
7;12;59;73
7;13;28;51
7;14;59;78
7;2;48;65
8;1;45;66
8;3;40;59
8;4;70;80
8;5;11;34
8;6;13;33
8;7;22;41
8;8;0;0
8;9;5;27
8;10;7;29
8;11;24;45
8;12;56;74
8;13;29;52
8;14;42;61
8;2;45;66
9;1;47;67
9;3;42;61
9;4;70;80
9;5;13;35
9;6;15;35
9;7;24;43
9;8;6;27
9;9;0;0
9;10;10;31
9;11;27;46
9;12;59;76
9;13;31;53
9;14;44;62
9;2;47;67
10;1;42;60
10;3;32;52
10;4;70;80
10;5;7;29
10;6;13;36
10;7;22;42
10;8;5;27
10;9;10;33
10;10;0;0
10;11;24;45
10;12;53;69
10;13;21;45
10;14;42;64
10;2;42;60
11;1;47;63
11;3;37;55
11;4;53;66
11;5;21;41
11;6;37;55
11;7;8;31
11;8;24;43
11;9;29;49
11;10;25;45
11;11;0;0
11;12;58;72
11;13;28;50
11;14;58;76
11;2;47;63
12;1;13;31
12;3;24;42
12;4;111;109
12;5;49;64
12;6;41;59
12;7;59;72
12;8;53;71
12;9;55;71
12;10;53;67
12;11;58;69
12;12;0;0
12;13;33;50
12;14;20;41
12;2;13;31
13;1;22;42
13;3;12;34
13;4;83;89
13;5;17;39
13;6;31;53
13;7;28;51
13;8;26;49
13;9;31;54
13;10;22;44
13;11;30;49
13;12;34;51
13;13;0;0
13;14;27;51
13;2;22;42
14;1;13;40
14;3;25;50
14;4;110;116
14;5;42;68
14;6;30;52
14;7;58;80
14;8;42;64
14;9;44;63
14;10;42;64
14;11;57;76
14;12;25;49
14;13;26;52
14;14;0;0
14;2;13;40
