ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;47;66
1;4;14;35
1;5;97;93
1;6;43;60
1;7;90;99
1;8;37;55
1;9;97;116
1;10;37;58
1;11;50;68
1;12;39;57
1;13;63;80
1;14;8;30
1;15;39;57
1;16;50;68
1;17;66;78
3;1;45;65
3;3;0;0
3;4;37;62
3;5;142;136
3;6;9;31
3;7;54;71
3;8;45;63
3;9;122;143
3;10;16;39
3;11;34;60
3;12;30;56
3;13;24;47
3;14;45;62
3;15;25;51
3;16;13;36
3;17;30;50
4;1;13;35
4;3;37;62
4;4;0;0
4;5;110;105
4;6;34;57
4;7;85;98
4;8;35;56
4;9;95;117
4;10;37;55
4;11;47;67
4;12;36;58
4;13;63;78
4;14;9;30
4;15;35;56
4;16;50;66
4;17;61;76
5;1;99;95
5;3;142;135
5;4;109;104
5;5;0;0
5;6;137;128
5;7;184;168
5;8;127;114
5;9;102;148
5;10;131;126
5;11;143;128
5;12;135;120
5;13;157;149
5;14;102;98
5;15;140;125
5;16;144;137
5;17;160;146
6;1;41;59
6;3;10;32
6;4;33;56
6;5;137;129
6;6;0;0
6;7;61;76
6;8;35;59
6;9;117;136
6;10;7;29
6;11;35;58
6;12;27;50
6;13;27;49
6;14;36;56
6;15;23;46
6;16;14;37
6;17;31;52
7;1;85;96
7;3;53;70
7;4;81;94
7;5;181;166
7;6;59;76
7;7;0;0
7;8;70;81
7;9;154;165
7;10;64;81
7;11;60;78
7;12;61;75
7;13;44;63
7;14;91;103
7;15;60;76
7;16;55;72
7;17;40;60
8;1;37;56
8;3;40;57
8;4;38;58
8;5;131;117
8;6;35;55
8;7;68;79
8;8;0;0
8;9;95;113
8;10;41;62
8;11;16;34
8;12;8;26
8;13;48;61
8;14;43;63
8;15;13;31
8;16;51;67
8;17;44;57
9;1;96;122
9;3;125;150
9;4;97;124
9;5;101;145
9;6;121;144
9;7;160;174
9;8;92;116
9;9;0;0
9;10;124;150
9;11;108;130
9;12;100;122
9;13;140;156
9;14;103;128
9;15;105;127
9;16;134;159
9;17;136;153
10;1;37;60
10;3;17;42
10;4;33;54
10;5;134;130
10;6;8;31
10;7;69;85
10;8;43;68
10;9;121;141
10;10;0;0
10;11;43;67
10;12;35;60
10;13;34;54
10;14;29;48
10;15;30;56
10;16;21;43
10;17;37;58
11;1;46;64
11;3;37;59
11;4;46;65
11;5;141;126
11;6;37;58
11;7;65;79
11;8;20;38
11;9;104;121
11;10;42;65
11;11;0;0
11;12;11;30
11;13;44;61
11;14;52;71
11;15;16;36
11;16;48;69
11;17;40;58
12;1;36;55
12;3;31;54
12;4;37;57
12;5;132;120
12;6;28;50
12;7;64;76
12;8;8;28
12;9;95;115
12;10;34;57
12;11;11;31
12;12;0;0
12;13;44;58
12;14;42;62
12;15;6;26
12;16;41;65
12;17;39;55
13;1;67;80
13;3;24;45
13;4;63;78
13;5;164;150
13;6;29;49
13;7;47;65
13;8;52;65
13;9;137;148
13;10;33;53
13;11;43;61
13;12;44;59
13;13;0;0
13;14;56;72
13;15;42;60
13;16;15;36
13;17;8;29
14;1;8;34
14;3;45;61
14;4;9;30
14;5;105;104
14;6;37;56
14;7;93;105
14;8;41;63
14;9;101;123
14;10;29;48
14;11;55;74
14;12;43;65
14;13;55;71
14;14;0;0
14;15;42;63
14;16;42;59
14;17;59;75
15;1;37;55
15;3;25;50
15;4;33;53
15;5;136;124
15;6;24;46
15;7;64;78
15;8;12;33
15;9;100;120
15;10;29;53
15;11;14;35
15;12;5;24
15;13;43;60
15;14;44;62
15;15;0;0
15;16;36;61
15;17;39;56
16;1;49;70
16;3;12;35
16;4;45;64
16;5;145;140
16;6;14;36
16;7;59;75
16;8;55;70
16;9;130;149
16;10;18;39
16;11;46;67
16;12;40;63
16;13;16;37
16;14;41;58
16;15;36;59
16;16;0;0
16;17;19;41
17;1;65;77
17;3;26;48
17;4;61;75
17;5;162;147
17;6;32;52
17;7;45;62
17;8;50;62
17;9;135;146
17;10;35;56
17;11;41;59
17;12;42;56
17;13;7;30
17;14;59;75
17;15;40;57
17;16;18;39
17;17;0;0
2;1;400;400
2;3;400;400
2;4;400;400
2;5;400;400
2;6;400;400
2;7;400;400
2;8;400;400
2;9;400;400
2;10;400;400
2;11;400;400
2;12;400;400
2;13;400;400
2;14;400;400
2;15;400;400
2;16;400;400
2;17;400;400
1;2;400;400
3;2;45;65
4;2;13;35
5;2;99;95
6;2;41;59
7;2;85;96
8;2;37;56
9;2;96;122
10;2;37;60
11;2;46;64
12;2;36;55
13;2;67;80
14;2;8;34
15;2;37;55
16;2;49;70
17;2;65;77
2;2;400;400
