ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;51;69
1;4;51;68
1;5;54;71
1;6;60;71
1;7;17;37
1;8;62;74
1;9;8;30
1;10;71;83
1;11;32;52
1;12;110;117
1;13;123;137
1;14;55;74
1;15;47;61
1;2;500;500
2;1;500;500
2;3;500;500
2;4;500;500
2;5;500;500
2;6;500;500
2;7;500;500
2;8;500;500
2;9;500;500
2;10;500;500
2;11;500;500
2;12;500;500
2;13;500;500
2;14;500;500
2;15;500;500
2;2;500;500
3;1;51;73
3;3;0;0
3;4;45;63
3;5;24;42
3;6;51;64
3;7;46;66
3;8;25;44
3;9;43;61
3;10;38;56
3;11;20;41
3;12;101;110
3;13;114;130
3;14;6;28
3;15;35;52
3;2;51;73
4;1;50;65
4;3;47;61
4;4;0;0
4;5;25;43
4;6;15;35
4;7;41;59
4;8;29;46
4;9;56;72
4;10;38;55
4;11;53;68
4;12;65;81
4;13;78;101
4;14;45;61
4;15;14;33
4;2;50;65
5;1;52;69
5;3;24;42
5;4;24;45
5;5;0;0
5;6;30;46
5;7;43;62
5;8;7;28
5;9;58;75
5;10;17;40
5;11;39;57
5;12;80;92
5;13;92;112
5;14;18;43
5;15;13;34
5;2;52;69
6;1;57;69
6;3;51;64
6;4;12;33
6;5;29;45
6;6;0;0
6;7;48;62
6;8;33;49
6;9;63;75
6;10;42;58
6;11;57;70
6;12;55;73
6;13;68;93
6;14;48;64
6;15;18;36
6;2;57;69
7;1;15;36
7;3;46;65
7;4;39;58
7;5;43;61
7;6;48;61
7;7;0;0
7;8;50;64
7;9;15;38
7;10;59;73
7;11;28;48
7;12;98;107
7;13;111;128
7;14;43;65
7;15;35;52
7;2;15;36
8;1;60;73
8;3;24;43
8;4;28;47
8;5;6;27
8;6;34;49
8;7;51;66
8;8;0;0
8;9;67;79
8;10;20;41
8;11;42;60
8;12;84;95
8;13;96;115
8;14;20;44
8;15;17;36
8;2;60;73
9;1;9;34
9;3;43;60
9;4;54;73
9;5;51;76
9;6;63;76
9;7;15;37
9;8;65;79
9;9;0;0
9;10;73;88
9;11;25;42
9;12;113;122
9;13;125;143
9;14;47;64
9;15;49;66
9;2;9;34
10;1;68;81
10;3;37;56
10;4;35;55
10;5;18;39
10;6;40;57
10;7;59;74
10;8;20;40
10;9;74;87
10;10;0;0
10;11;52;69
10;12;90;103
10;13;85;106
10;14;34;58
10;15;25;45
10;2;68;81
11;1;34;56
11;3;19;40
11;4;50;69
11;5;38;56
11;6;58;71
11;7;28;48
11;8;44;60
11;9;26;44
11;10;53;69
11;11;0;0
11;12;108;117
11;13;121;137
11;14;24;44
11;15;40;58
11;2;34;56
12;1;107;105
12;3;101;100
12;4;62;69
12;5;79;82
12;6;58;67
12;7;98;98
12;8;83;85
12;9;113;111
12;10;91;94
12;11;107;107
12;12;0;0
12;13;40;71
12;14;98;100
12;15;68;72
12;2;107;105
13;1;121;135
13;3;115;130
13;4;76;99
13;5;94;112
13;6;73;97
13;7;113;129
13;8;97;115
13;9;128;142
13;10;86;111
13;11;122;137
13;12;37;66
13;13;0;0
13;14;113;130
13;15;82;102
13;2;121;135
14;1;54;75
14;3;4;25
14;4;40;64
14;5;19;44
14;6;49;66
14;7;48;67
14;8;21;46
14;9;46;63
14;10;35;59
14;11;22;43
14;12;99;112
14;13;111;132
14;14;0;0
14;15;30;53
14;2;54;75
15;1;45;60
15;3;34;51
15;4;13;34
15;5;12;32
15;6;18;35
15;7;36;53
15;8;16;35
15;9;51;66
15;10;25;44
15;11;41;57
15;12;68;81
15;13;81;102
15;14;32;50
15;15;0;0
15;2;45;60
