ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;39;54
1;4;45;64
1;5;30;49
1;6;61;78
1;7;49;64
1;8;45;66
1;9;55;71
1;10;185;167
1;11;241;217
1;12;51;64
1;13;47;66
1;14;47;67
1;15;25;45
3;1;37;54
3;3;0;0
3;4;17;42
3;5;38;61
3;6;30;49
3;7;12;33
3;8;21;45
3;9;18;39
3;10;147;137
3;11;203;187
3;12;16;37
3;13;17;42
3;14;18;41
3;15;18;41
4;1;43;63
4;3;17;42
4;4;0;0
4;5;23;43
4;6;24;44
4;7;15;33
4;8;5;26
4;9;19;40
4;10;149;137
4;11;206;186
4;12;31;48
4;13;3;24
4;14;36;57
4;15;23;48
5;1;31;53
5;3;40;61
5;4;23;43
5;5;0;0
5;6;35;53
5;7;37;54
5;8;19;42
5;9;41;61
5;10;172;158
5;11;228;208
5;12;54;69
5;13;26;46
5;14;50;75
5;15;33;54
6;1;67;78
6;3;30;49
6;4;23;43
6;5;35;53
6;6;0;0
6;7;19;38
6;8;21;41
6;9;14;34
6;10;141;131
6;11;198;180
6;12;30;47
6;13;22;43
6;14;42;58
6;15;48;65
7;1;46;62
7;3;11;33
7;4;16;35
7;5;37;54
7;6;19;37
7;7;0;0
7;8;20;38
7;9;8;30
7;10;136;126
7;11;192;176
7;12;16;37
7;13;17;36
7;14;25;46
7;15;27;49
8;1;45;66
8;3;22;47
8;4;6;27
8;5;18;37
8;6;19;39
8;7;20;38
8;8;0;0
8;9;24;45
8;10;154;142
8;11;211;192
8;12;36;53
8;13;8;30
8;14;41;62
8;15;29;52
9;1;49;67
9;3;17;39
9;4;19;41
9;5;40;60
9;6;13;33
9;7;8;29
9;8;22;44
9;9;0;0
9;10;135;127
9;11;192;176
9;12;22;42
9;13;19;42
9;14;33;52
9;15;30;55
10;1;183;167
10;3;146;139
10;4;151;141
10;5;171;159
10;6;141;132
10;7;136;128
10;8;154;143
10;9;136;129
10;10;0;0
10;11;57;71
10;12;152;136
10;13;151;141
10;14;158;148
10;15;164;155
11;1;237;217
11;3;200;189
11;4;205;190
11;5;226;209
11;6;196;182
11;7;190;177
11;8;208;193
11;9;190;179
11;10;56;73
11;11;0;0
11;12;206;186
11;13;205;191
11;14;213;198
11;15;219;205
12;1;46;60
12;3;14;34
12;4;30;47
12;5;51;65
12;6;29;45
12;7;15;34
12;8;33;49
12;9;20;40
12;10;146;134
12;11;202;184
12;12;0;0
12;13;30;47
12;14;14;40
12;15;28;48
13;1;45;65
13;3;18;43
13;4;2;24
13;5;25;45
13;6;23;44
13;7;14;35
13;8;8;29
13;9;15;42
13;10;149;139
13;11;205;189
13;12;31;50
13;13;0;0
13;14;36;59
13;15;24;50
14;1;43;63
14;3;15;37
14;4;35;57
14;5;50;73
14;6;42;59
14;7;25;47
14;8;38;60
14;9;33;53
14;10;158;148
14;11;215;197
14;12;16;39
14;13;35;58
14;14;0;0
14;15;30;54
15;1;23;43
15;3;19;39
15;4;22;46
15;5;32;53
15;6;44;63
15;7;26;47
15;8;26;49
15;9;30;53
15;10;160;151
15;11;216;201
15;12;31;50
15;13;23;47
15;14;30;53
15;15;0;0
2;1;700;700
2;3;700;700
2;4;700;700
2;5;700;700
2;6;700;700
2;7;700;700
2;8;700;700
2;9;700;700
2;10;700;700
2;11;700;700
2;12;700;700
2;13;700;700
2;14;700;700
2;15;700;700
1;2;700;700
3;2;37;54
4;2;43;63
5;2;31;53
6;2;67;78
7;2;46;62
8;2;45;66
9;2;49;67
10;2;183;167
11;2;237;217
12;2;46;60
13;2;45;65
14;2;43;63
15;2;23;43
2;2;700;700
