ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;47;62
1;4;70;80
1;5;36;54
1;6;24;43
1;7;35;55
1;8;64;76
1;9;81;90
1;10;13;35
1;11;21;43
1;12;21;42
1;13;52;65
1;14;43;59
1;15;43;62
1;16;9;28
1;2;600;600
2;1;600;600
2;3;600;600
2;4;600;600
2;5;600;600
2;6;600;600
2;7;600;600
2;8;600;600
2;9;600;600
2;10;600;600
2;11;600;600
2;12;600;600
2;13;600;600
2;14;600;600
2;15;600;600
2;16;600;600
2;2;600;600
3;1;44;61
3;3;0;0
3;4;29;48
3;5;13;35
3;6;27;48
3;7;22;38
3;8;27;46
3;9;44;60
3;10;51;71
3;11;39;60
3;12;48;67
3;13;7;29
3;14;6;27
3;15;15;33
3;16;39;56
3;2;44;61
4;1;67;79
4;3;26;46
4;4;0;0
4;5;41;57
4;6;50;66
4;7;44;58
4;8;46;61
4;9;57;71
4;10;74;89
4;11;62;78
4;12;72;84
4;13;20;39
4;14;30;47
4;15;32;57
4;16;62;73
4;2;67;79
5;1;33;51
5;3;14;35
5;4;41;57
5;5;0;0
5;6;15;38
5;7;16;38
5;8;34;52
5;9;51;67
5;10;39;61
5;11;28;50
5;12;37;56
5;13;23;41
5;14;14;36
5;15;13;34
5;16;28;45
5;2;33;51
6;1;21;41
6;3;28;48
6;4;51;66
6;5;17;39
6;6;0;0
6;7;34;56
6;8;40;60
6;9;57;75
6;10;26;46
6;11;10;33
6;12;19;42
6;13;33;50
6;14;24;45
6;15;29;52
6;16;16;36
6;2;21;41
7;1;32;53
7;3;21;37
7;4;43;57
7;5;18;36
7;6;33;54
7;7;0;0
7;8;44;57
7;9;61;72
7;10;45;66
7;11;36;59
7;12;43;64
7;13;27;45
7;14;22;40
7;15;11;30
7;16;27;48
7;2;32;53
8;1;60;73
8;3;25;43
8;4;44;59
8;5;34;52
8;6;43;60
8;7;43;57
8;8;0;0
8;9;31;49
8;10;62;77
8;11;55;72
8;12;55;71
8;13;26;43
8;14;23;41
8;15;36;52
8;16;55;67
8;2;60;73
9;1;78;88
9;3;42;58
9;4;59;68
9;5;51;67
9;6;61;76
9;7;61;73
9;8;32;50
9;9;0;0
9;10;83;94
9;11;73;88
9;12;76;88
9;13;43;59
9;14;41;57
9;15;54;68
9;16;73;83
9;2;78;88
10;1;14;39
10;3;54;72
10;4;78;90
10;5;43;63
10;6;26;47
10;7;45;66
10;8;62;78
10;9;83;94
10;10;0;0
10;11;16;40
10;12;10;30
10;13;60;74
10;14;51;69
10;15;53;74
10;16;18;40
10;2;14;39
11;1;19;41
11;3;39;60
11;4;62;78
11;5;28;51
11;6;11;33
11;7;34;57
11;8;50;72
11;9;67;86
11;10;15;39
11;11;0;0
11;12;11;34
11;13;44;62
11;14;35;56
11;15;40;63
11;16;13;36
11;2;19;41
12;1;22;45
12;3;48;66
12;4;71;84
12;5;37;57
12;6;18;40
12;7;41;62
12;8;56;74
12;9;77;90
12;10;11;31
12;11;10;32
12;12;0;0
12;13;53;68
12;14;44;63
12;15;49;69
12;16;19;41
12;2;22;45
13;1;49;62
13;3;6;29
13;4;21;40
13;5;22;40
13;6;31;49
13;7;31;45
13;8;27;44
13;9;44;59
13;10;55;72
13;11;44;61
13;12;53;67
13;13;0;0
13;14;12;30
13;15;23;40
13;16;44;56
13;2;49;62
14;1;40;57
14;3;8;27
14;4;30;49
14;5;13;36
14;6;22;44
14;7;22;38
14;8;25;46
14;9;43;60
14;10;47;67
14;11;35;56
14;12;44;63
14;13;10;33
14;14;0;0
14;15;14;33
14;16;35;52
14;2;40;57
15;1;39;59
15;3;15;33
15;4;35;55
15;5;12;33
15;6;27;50
15;7;10;30
15;8;38;54
15;9;56;68
15;10;51;71
15;11;40;62
15;12;49;69
15;13;20;41
15;14;16;36
15;15;0;0
15;16;34;53
15;2;39;59
16;1;7;27
16;3;38;54
16;4;61;72
16;5;27;45
16;6;15;35
16;7;26;47
16;8;55;67
16;9;72;82
16;10;19;39
16;11;14;36
16;12;20;41
16;13;43;57
16;14;34;51
16;15;35;54
16;16;0;0
16;2;7;27
