ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;126;141
1;4;32;52
1;5;40;57
1;6;50;69
1;7;37;56
1;8;40;59
1;9;215;195
1;10;113;117
1;11;60;78
1;12;66;78
1;13;39;58
1;14;4;24
1;15;83;98
3;1;124;140
3;3;0;0
3;4;125;148
3;5;104;128
3;6;117;135
3;7;98;118
3;8;103;126
3;9;185;191
3;10;32;60
3;11;107;126
3;12;104;125
3;13;99;119
3;14;126;141
3;15;101;132
4;1;32;55
4;3;125;148
4;4;0;0
4;5;20;45
4;6;26;47
4;7;46;71
4;8;23;47
4;9;204;189
4;10;112;124
4;11;37;56
4;12;42;62
4;13;45;70
4;14;29;51
4;15;72;92
5;1;38;56
5;3;100;125
5;4;20;43
5;5;0;0
5;6;17;40
5;7;27;50
5;8;2;23
5;9;180;167
5;10;87;101
5;11;27;49
5;12;30;49
5;13;27;49
5;14;41;57
5;15;48;70
6;1;50;70
6;3;116;134
6;4;25;45
6;5;16;38
6;6;0;0
6;7;43;65
6;8;16;38
6;9;182;169
6;10;103;110
6;11;12;32
6;12;18;39
6;13;42;64
6;14;47;66
6;15;50;72
7;1;34;55
7;3;97;117
7;4;45;69
7;5;27;50
7;6;43;66
7;7;0;0
7;8;27;49
7;9;191;174
7;10;84;94
7;11;45;58
7;12;42;56
7;13;2;23
7;14;37;56
7;15;59;77
8;1;39;57
8;3;99;124
8;4;23;47
8;5;3;24
8;6;18;40
8;7;28;51
8;8;0;0
8;9;179;165
8;10;86;100
8;11;28;49
8;12;30;48
8;13;28;50
8;14;42;59
8;15;47;68
9;1;213;195
9;3;183;188
9;4;204;190
9;5;182;170
9;6;182;170
9;7;191;176
9;8;181;169
9;9;0;0
9;10;208;197
9;11;172;161
9;12;168;159
9;13;190;174
9;14;216;196
9;15;161;156
10;1;109;107
10;3;32;60
10;4;111;116
10;5;90;95
10;6;103;103
10;7;84;87
10;8;89;94
10;9;222;196
10;10;0;0
10;11;93;94
10;12;90;92
10;13;85;86
10;14;112;109
10;15;107;112
11;1;66;77
11;3;105;124
11;4;37;55
11;5;27;48
11;6;11;31
11;7;44;58
11;8;27;48
11;9;171;159
11;10;92;100
11;11;0;0
11;12;7;29
11;13;43;57
11;14;58;77
11;15;39;62
12;1;65;77
12;3;104;124
12;4;42;61
12;5;34;52
12;6;17;37
12;7;43;57
12;8;33;50
12;9;170;158
12;10;91;99
12;11;6;28
12;12;0;0
12;13;42;56
12;14;68;78
12;15;38;61
13;1;34;54
13;3;97;116
13;4;47;70
13;5;29;50
13;6;43;66
13;7;1;22
13;8;27;49
13;9;190;173
13;10;84;93
13;11;44;58
13;12;40;56
13;13;0;0
13;14;37;55
13;15;57;76
14;1;3;24
14;3;124;139
14;4;31;50
14;5;38;55
14;6;48;67
14;7;36;54
14;8;39;57
14;9;213;193
14;10;111;115
14;11;59;76
14;12;64;76
14;13;37;56
14;14;0;0
14;15;81;96
15;1;80;96
15;3;101;128
15;4;71;91
15;5;49;72
15;6;49;71
15;7;58;77
15;8;48;70
15;9;161;154
15;10;105;119
15;11;39;62
15;12;36;60
15;13;57;75
15;14;83;98
15;15;0;0
2;1;500;500
2;3;500;500
2;4;500;500
2;5;500;500
2;6;500;500
2;7;500;500
2;8;500;500
2;9;500;500
2;10;500;500
2;11;500;500
2;12;500;500
2;13;500;500
2;14;500;500
2;15;500;500
1;2;500;500
3;2;124;140
4;2;32;55
5;2;38;56
6;2;50;70
7;2;34;55
8;2;39;57
9;2;213;195
10;2;109;107
11;2;66;77
12;2;65;77
13;2;34;54
14;2;3;24
15;2;80;96
2;2;500;500
