ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;56;70
1;4;373;349
1;5;71;83
1;6;69;81
1;7;38;57
1;8;24;41
1;9;42;60
1;10;123;137
1;11;63;80
1;12;62;74
1;13;85;104
1;14;70;80
1;2;999;999
2;1;999;999
2;3;999;999
2;4;999;999
2;5;999;999
2;6;999;999
2;7;999;999
2;8;999;999
2;9;999;999
2;10;999;999
2;11;999;999
2;12;999;999
2;13;999;999
2;14;999;999
2;2;999;999
3;1;51;65
3;3;0;0
3;4;326;310
3;5;24;44
3;6;22;41
3;7;30;47
3;8;74;83
3;9;28;47
3;10;85;107
3;11;22;41
3;12;15;34
3;13;38;64
3;14;32;50
3;2;51;65
4;1;370;353
4;3;326;316
4;4;0;0
4;5;307;299
4;6;329;320
4;7;351;335
4;8;403;366
4;9;342;331
4;10;280;278
4;11;330;320
4;12;322;313
4;13;312;313
4;14;321;311
4;2;370;353
5;1;69;82
5;3;24;45
5;4;308;294
5;5;0;0
5;6;28;49
5;7;50;65
5;8;92;100
5;9;41;61
5;10;87;110
5;11;29;50
5;12;21;42
5;13;14;41
5;14;52;68
5;2;69;82
6;1;67;78
6;3;22;41
6;4;329;313
6;5;27;47
6;6;0;0
6;7;47;60
6;8;90;96
6;9;30;51
6;10;103;121
6;11;3;24
6;12;13;34
6;13;41;68
6;14;50;64
6;2;67;78
7;1;36;56
7;3;34;50
7;4;351;329
7;5;49;63
7;6;47;61
7;7;0;0
7;8;54;63
7;9;35;56
7;10;94;112
7;11;48;61
7;12;40;54
7;13;63;84
7;14;41;55
7;2;36;56
8;1;25;42
8;3;76;87
8;4;404;363
8;5;92;99
8;6;90;97
8;7;53;60
8;8;0;0
8;9;62;76
8;10;138;141
8;11;83;97
8;12;82;90
8;13;106;120
8;14;85;85
8;2;25;42
9;1;40;58
9;3;28;47
9;4;340;324
9;5;39;58
9;6;31;52
9;7;34;58
9;8;63;76
9;9;0;0
9;10;100;124
9;11;29;51
9;12;29;48
9;13;52;78
9;14;47;68
9;2;40;58
10;1;121;135
10;3;91;110
10;4;279;277
10;5;86;112
10;6;104;122
10;7;94;112
10;8;139;141
10;9;106;125
10;10;0;0
10;11;105;122
10;12;97;115
10;13;93;126
10;14;57;86
10;2;121;135
11;1;67;80
11;3;23;42
11;4;330;315
11;5;28;49
11;6;3;25
11;7;48;62
11;8;90;97
11;9;29;51
11;10;103;122
11;11;0;0
11;12;14;35
11;13;42;69
11;14;50;66
11;2;67;80
12;1;60;72
12;3;16;36
12;4;322;307
12;5;20;41
12;6;12;33
12;7;40;54
12;8;82;90
12;9;32;50
12;10;96;115
12;11;14;35
12;12;0;0
12;13;34;62
12;14;43;58
12;2;60;72
13;1;82;102
13;3;37;65
13;4;314;309
13;5;15;42
13;6;41;69
13;7;63;84
13;8;105;119
13;9;54;80
13;10;93;124
13;11;42;69
13;12;34;62
13;13;0;0
13;14;65;88
13;2;82;102
14;1;67;79
14;3;37;54
14;4;323;308
14;5;53;68
14;6;51;66
14;7;41;55
14;8;85;84
14;9;53;69
14;10;57;87
14;11;52;66
14;12;44;59
14;13;67;89
14;14;0;0
14;2;67;79
