ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;85;104
1;4;70;81
1;5;60;71
1;6;12;32
1;7;49;66
1;8;71;84
1;9;72;84
1;10;83;98
1;11;66;78
1;12;47;62
1;13;37;58
1;14;42;60
1;15;92;111
1;16;45;62
1;2;500;500
2;1;500;500
2;3;500;500
2;4;500;500
2;5;500;500
2;6;500;500
2;7;500;500
2;8;500;500
2;9;500;500
2;10;500;500
2;11;500;500
2;12;500;500
2;13;500;500
2;14;500;500
2;15;500;500
2;16;500;500
2;2;500;500
3;1;83;102
3;3;0;0
3;4;65;88
3;5;115;125
3;6;74;94
3;7;38;67
3;8;16;44
3;9;20;48
3;10;21;46
3;11;38;66
3;12;45;71
3;13;61;87
3;14;54;80
3;15;147;165
3;16;52;76
3;2;83;102
4;1;68;79
4;3;67;89
4;4;0;0
4;5;86;89
4;6;59;71
4;7;42;59
4;8;53;69
4;9;54;69
4;10;55;72
4;11;48;63
4;12;28;45
4;13;60;76
4;14;53;69
4;15;118;130
4;16;35;52
4;2;68;79
5;1;57;69
5;3;116;126
5;4;79;92
5;5;0;0
5;6;50;62
5;7;84;93
5;8;102;106
5;9;104;106
5;10;114;120
5;11;97;100
5;12;73;79
5;13;85;97
5;14;80;91
5;15;64;92
5;16;66;74
5;2;57;69
6;1;11;31
6;3;73;94
6;4;58;71
6;5;50;61
6;6;0;0
6;7;37;56
6;8;60;74
6;9;61;74
6;10;72;88
6;11;54;68
6;12;36;52
6;13;35;56
6;14;30;50
6;15;82;101
6;16;34;52
6;2;11;31
7;1;44;61
7;3;38;67
7;4;44;60
7;5;84;92
7;6;35;53
7;7;0;0
7;8;24;47
7;9;25;47
7;10;36;61
7;11;16;38
7;12;18;41
7;13;24;46
7;14;17;40
7;15;116;133
7;16;20;43
7;2;44;61
8;1;69;82
8;3;16;44
8;4;51;68
8;5;102;105
8;6;60;74
8;7;25;47
8;8;0;0
8;9;6;28
8;10;17;41
8;11;24;46
8;12;32;51
8;13;48;67
8;14;41;60
8;15;134;145
8;16;38;56
8;2;69;82
9;1;70;83
9;3;20;49
9;4;52;68
9;5;103;105
9;6;61;74
9;7;26;48
9;8;7;29
9;9;0;0
9;10;13;35
9;11;25;46
9;12;32;51
9;13;49;67
9;14;42;61
9;15;135;145
9;16;39;56
9;2;70;83
10;1;82;94
10;3;22;46
10;4;56;69
10;5;115;116
10;6;73;85
10;7;38;59
10;8;19;39
10;9;12;35
10;10;0;0
10;11;37;57
10;12;45;62
10;13;61;78
10;14;54;72
10;15;147;157
10;16;51;67
10;2;82;94
11;1;66;77
11;3;40;67
11;4;48;63
11;5;98;100
11;6;57;69
11;7;17;39
11;8;26;46
11;9;27;47
11;10;38;61
11;11;0;0
11;12;28;46
11;13;35;56
11;14;32;53
11;15;130;140
11;16;35;51
11;2;66;77
12;1;45;61
12;3;47;72
12;4;29;47
12;5;73;79
12;6;36;52
12;7;19;42
12;8;33;52
12;9;34;53
12;10;45;66
12;11;28;46
12;12;0;0
12;13;37;58
12;14;27;51
12;15;105;119
12;16;9;29
12;2;45;61
13;1;37;61
13;3;63;90
13;4;61;79
13;5;84;96
13;6;34;55
13;7;26;50
13;8;49;70
13;9;51;70
13;10;61;84
13;11;37;58
13;12;38;60
13;13;0;0
13;14;10;34
13;15;116;136
13;16;36;60
13;2;37;61
14;1;40;59
14;3;52;78
14;4;47;68
14;5;80;90
14;6;31;51
14;7;15;38
14;8;39;58
14;9;40;59
14;10;51;72
14;11;33;52
14;12;24;48
14;13;9;32
14;14;0;0
14;15;112;130
14;16;28;50
14;2;40;59
15;1;90;116
15;3;149;173
15;4;120;138
15;5;64;92
15;6;83;108
15;7;117;140
15;8;135;152
15;9;136;153
15;10;147;167
15;11;130;147
15;12;106;125
15;13;118;144
15;14;113;137
15;15;0;0
15;16;99;120
15;2;90;116
16;1;43;60
16;3;53;77
16;4;37;53
16;5;65;73
16;6;34;52
16;7;21;44
16;8;39;57
16;9;40;58
16;10;51;71
16;11;34;51
16;12;10;30
16;13;35;57
16;14;25;50
16;15;97;113
16;16;0;0
16;2;43;60
