ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;31;48
1;4;202;180
1;5;62;73
1;6;21;42
1;7;83;97
1;8;68;79
1;9;26;40
1;10;32;52
1;11;71;82
1;12;10;34
1;13;44;61
1;14;80;97
3;1;28;47
3;3;0;0
3;4;170;156
3;5;30;50
3;6;19;41
3;7;51;73
3;8;36;56
3;9;53;64
3;10;24;47
3;11;38;59
3;12;28;50
3;13;22;44
3;14;48;73
4;1;200;177
4;3;171;157
4;4;0;0
4;5;152;137
4;6;195;176
4;7;120;114
4;8;158;143
4;9;235;191
4;10;185;166
4;11;136;123
4;12;203;183
4;13;174;156
4;14;129;123
5;1;60;72
5;3;30;52
5;4;152;138
5;5;0;0
5;6;55;71
5;7;33;55
5;8;9;31
5;9;85;90
5;10;42;60
5;11;20;41
5;12;63;78
5;13;32;50
5;14;29;55
6;1;19;40
6;3;19;40
6;4;188;175
6;5;48;69
6;6;0;0
6;7;70;92
6;8;55;74
6;9;44;58
6;10;22;42
6;11;57;78
6;12;16;38
6;13;33;52
6;14;66;92
7;1;81;92
7;3;52;72
7;4;121;114
7;5;33;52
7;6;76;91
7;7;0;0
7;8;39;58
7;9;106;110
7;10;66;81
7;11;17;37
7;12;85;98
7;13;56;71
7;14;9;31
8;1;66;79
8;3;36;59
8;4;157;145
8;5;9;32
8;6;56;76
8;7;39;62
8;8;0;0
8;9;90;96
8;10;35;57
8;11;26;48
8;12;60;78
8;13;25;47
8;14;35;62
9;1;24;40
9;3;51;62
9;4;222;194
9;5;82;88
9;6;41;57
9;7;103;111
9;8;88;94
9;9;0;0
9;10;52;66
9;11;90;96
9;12;30;48
9;13;64;75
9;14;100;111
10;1;33;55
10;3;25;49
10;4;184;166
10;5;44;60
10;6;23;42
10;7;65;83
10;8;34;54
10;9;58;73
10;10;0;0
10;11;53;69
10;12;27;45
10;13;13;32
10;14;62;83
11;1;68;80
11;3;38;60
11;4;134;121
11;5;20;40
11;6;63;79
11;7;15;38
11;8;25;46
11;9;93;98
11;10;52;69
11;11;0;0
11;12;71;86
11;13;42;59
11;14;11;37
12;1;10;35
12;3;27;50
12;4;203;185
12;5;63;79
12;6;16;39
12;7;85;102
12;8;59;75
12;9;35;52
12;10;26;43
12;11;72;88
12;12;0;0
12;13;37;53
12;14;81;102
13;1;50;66
13;3;22;44
13;4;172;154
13;5;31;48
13;6;36;54
13;7;53;71
13;8;22;42
13;9;74;84
13;10;15;35
13;11;40;57
13;12;40;56
13;13;0;0
13;14;49;71
14;1;77;92
14;3;47;72
14;4;130;124
14;5;29;52
14;6;72;91
14;7;9;32
14;8;35;58
14;9;102;109
14;10;62;81
14;11;13;37
14;12;80;98
14;13;51;71
14;14;0;0
2;1;600;600
2;3;600;600
2;4;600;600
2;5;600;600
2;6;600;600
2;7;600;600
2;8;600;600
2;9;600;600
2;10;600;600
2;11;600;600
2;12;600;600
2;13;600;600
2;14;600;600
1;2;600;600
3;2;28;47
4;2;200;177
5;2;60;72
6;2;19;40
7;2;81;92
8;2;66;79
9;2;24;40
10;2;33;55
11;2;68;80
12;2;10;35
13;2;50;66
14;2;77;92
2;2;600;600
