ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;52;65
1;4;70;81
1;5;15;35
1;6;381;319
1;7;62;75
1;8;45;62
1;9;38;58
1;10;6;27
1;11;58;71
1;12;38;57
1;13;60;72
1;14;72;80
1;15;44;62
1;16;133;139
1;17;66;78
1;18;65;73
1;19;43;62
1;20;54;68
1;21;24;43
1;22;42;60
3;1;49;62
3;3;0;0
3;4;21;40
3;5;45;59
3;6;332;279
3;7;25;43
3;8;10;34
3;9;26;42
3;10;54;65
3;11;22;39
3;12;25;41
3;13;24;40
3;14;23;39
3;15;21;38
3;16;154;153
3;17;30;46
3;18;16;33
3;19;23;40
3;20;17;35
3;21;31;49
3;22;19;38
4;1;68;79
4;3;20;39
4;4;0;0
4;5;63;76
4;6;315;268
4;7;44;60
4;8;28;51
4;9;41;55
4;10;72;82
4;11;40;56
4;12;43;57
4;13;42;57
4;14;16;39
4;15;40;55
4;16;159;157
4;17;48;63
4;18;9;32
4;19;32;57
4;20;36;52
4;21;50;66
4;22;38;55
5;1;13;35
5;3;47;63
5;4;65;79
5;5;0;0
5;6;376;317
5;7;57;73
5;8;40;60
5;9;36;58
5;10;12;36
5;11;53;69
5;12;36;58
5;13;56;70
5;14;67;78
5;15;43;63
5;16;131;139
5;17;62;76
5;18;60;72
5;19;41;63
5;20;42;66
5;21;13;36
5;22;37;59
6;1;379;317
6;3;331;277
6;4;315;267
6;5;375;314
6;6;0;0
6;7;355;297
6;8;339;289
6;9;352;293
6;10;383;320
6;11;351;293
6;12;354;294
6;13;354;295
6;14;348;277
6;15;351;293
6;16;431;365
6;17;359;300
6;18;324;272
6;19;343;295
6;20;347;290
6;21;361;303
6;22;349;293
7;1;60;73
7;3;25;43
7;4;43;58
7;5;56;70
7;6;354;297
7;7;0;0
7;8;30;47
7;9;38;53
7;10;64;76
7;11;7;29
7;12;37;52
7;13;2;24
7;14;45;57
7;15;33;49
7;16;166;163
7;17;5;27
7;18;38;51
7;19;36;51
7;20;11;31
7;21;42;59
7;22;32;49
8;1;43;61
8;3;10;34
8;4;29;51
8;5;39;58
8;6;340;289
8;7;30;49
8;8;0;0
8;9;13;33
8;10;48;64
8;11;26;45
8;12;12;32
8;13;29;46
8;14;31;50
8;15;8;29
8;16;141;144
8;17;35;52
8;18;24;44
8;19;11;31
8;20;22;42
8;21;25;48
8;22;6;29
9;1;34;54
9;3;24;43
9;4;40;55
9;5;35;56
9;6;351;293
9;7;38;54
9;8;14;33
9;9;0;0
9;10;38;57
9;11;34;50
9;12;2;23
9;13;37;51
9;14;36;54
9;15;8;28
9;16;130;135
9;17;43;57
9;18;35;49
9;19;7;28
9;20;30;47
9;21;29;50
9;22;9;29
10;1;6;29
10;3;53;67
10;4;71;83
10;5;13;36
10;6;382;321
10;7;63;77
10;8;46;64
10;9;39;60
10;10;0;0
10;11;59;73
10;12;39;60
10;13;62;74
10;14;73;82
10;15;45;65
10;16;134;141
10;17;68;80
10;18;66;76
10;19;45;65
10;20;55;70
10;21;25;45
10;22;43;62
11;1;54;70
11;3;21;39
11;4;39;55
11;5;50;68
11;6;350;293
11;7;5;27
11;8;26;44
11;9;34;50
11;10;59;73
11;11;0;0
11;12;33;49
11;13;3;24
11;14;41;54
11;15;29;46
11;16;162;160
11;17;8;31
11;18;33;47
11;19;32;48
11;20;7;28
11;21;36;57
11;22;28;46
12;1;35;55
12;3;23;42
12;4;41;57
12;5;36;57
12;6;352;295
12;7;37;53
12;8;13;33
12;9;2;23
12;10;39;58
12;11;33;49
12;12;0;0
12;13;36;50
12;14;37;56
12;15;7;27
12;16;130;137
12;17;42;56
12;18;36;50
12;19;6;27
12;20;29;46
12;21;25;48
12;22;8;28
13;1;58;71
13;3;24;41
13;4;42;57
13;5;54;69
13;6;353;295
13;7;3;25
13;8;28;46
13;9;36;52
13;10;63;74
13;11;5;27
13;12;35;51
13;13;0;0
13;14;44;56
13;15;32;48
13;16;164;162
13;17;6;29
13;18;36;50
13;19;34;50
13;20;9;29
13;21;40;58
13;22;30;48
14;1;69;77
14;3;21;37
14;4;16;38
14;5;65;75
14;6;332;279
14;7;45;58
14;8;29;49
14;9;36;53
14;10;74;81
14;11;42;54
14;12;37;55
14;13;44;55
14;14;0;0
14;15;26;52
14;16;154;155
14;17;50;61
14;18;9;32
14;19;26;53
14;20;37;51
14;21;51;64
14;22;39;54
15;1;40;60
15;3;18;40
15;4;34;55
15;5;40;60
15;6;345;293
15;7;33;50
15;8;8;30
15;9;7;28
15;10;44;63
15;11;29;46
15;12;6;26
15;13;31;48
15;14;26;53
