ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;202;180
1;4;70;80
1;5;63;73
1;6;39;56
1;7;37;56
1;8;15;34
1;9;109;115
1;10;62;73
1;11;43;62
1;12;68;81
1;13;26;45
1;14;43;60
1;15;62;73
1;16;13;36
1;17;205;183
1;18;50;63
1;19;38;56
1;20;48;60
3;1;200;177
3;3;0;0
3;4;151;135
3;5;158;139
3;6;171;153
3;7;184;162
3;8;214;188
3;9;97;108
3;10;152;137
3;11;176;156
3;12;158;144
3;13;179;161
3;14;175;157
3;15;152;136
3;16;202;181
3;17;7;29
3;18;162;146
3;19;165;151
3;20;198;167
4;1;67;79
4;3;152;139
4;4;0;0
4;5;11;33
4;6;37;54
4;7;41;58
4;8;88;86
4;9;79;89
4;10;44;59
4;11;32;57
4;12;50;66
4;13;47;63
4;14;54;69
4;15;44;58
4;16;69;83
4;17;155;142
4;18;25;44
4;19;39;55
4;20;50;61
5;1;57;67
5;3;160;145
5;4;12;36
5;5;0;0
5;6;27;43
5;7;40;52
5;8;71;79
5;9;80;89
5;10;34;48
5;11;32;46
5;12;40;55
5;13;36;52
5;14;44;58
5;15;33;47
5;16;59;72
5;17;163;147
5;18;15;33
5;19;29;44
5;20;43;55
6;1;37;54
6;3;172;156
6;4;38;55
6;5;32;48
6;6;0;0
6;7;18;38
6;8;51;65
6;9;78;91
6;10;32;49
6;11;12;33
6;12;38;57
6;13;16;38
6;14;24;45
6;15;31;49
6;16;38;58
6;17;175;159
6;18;18;38
6;19;11;33
6;20;33;54
7;1;33;54
7;3;184;163
7;4;41;57
7;5;33;49
7;6;18;37
7;7;0;0
7;8;55;62
7;9;91;99
7;10;44;57
7;11;13;32
7;12;51;65
7;13;32;53
7;14;39;59
7;15;44;57
7;16;37;61
7;17;188;166
7;18;31;46
7;19;27;45
7;20;13;37
8;1;15;35
8;3;213;189
8;4;86;85
8;5;78;76
8;6;50;65
8;7;52;60
8;8;0;0
8;9;119;124
8;10;73;83
8;11;61;67
8;12;79;90
8;13;37;54
8;14;54;69
8;15;72;82
8;16;24;45
8;17;216;192
8;18;61;72
8;19;49;65
8;20;42;55
9;1;108;111
9;3;96;109
9;4;77;87
9;5;83;90
9;6;79;87
9;7;92;96
9;8;121;122
9;9;0;0
9;10;59;71
9;11;84;90
9;12;66;78
9;13;87;95
9;14;82;91
9;15;59;70
9;16;109;115
9;17;99;112
9;18;70;80
9;19;72;85
9;20;106;112
10;1;60;72
10;3;152;138
10;4;43;59
10;5;37;51
10;6;32;49
10;7;44;57
10;8;74;83
10;9;58;73
10;10;0;0
10;11;36;51
10;12;9;30
10;13;39;56
10;14;34;52
10;15;5;26
10;16;61;76
10;17;155;141
10;18;23;41
10;19;24;46
10;20;59;73
11;1;39;59
11;3;177;158
11;4;35;55
11;5;21;43
11;6;12;32
11;7;11;31
11;8;62;68
11;9;84;93
11;10;37;52
11;11;0;0
11;12;43;59
11;13;24;47
11;14;32;54
11;15;36;51
11;16;43;65
11;17;180;161
