ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;10;34
1;4;70;80
1;5;42;61
1;6;70;78
1;7;65;76
1;8;42;59
1;9;30;44
1;10;18;38
1;11;55;71
1;12;88;94
1;13;47;66
1;14;43;62
3;1;10;35
3;3;0;0
3;4;71;86
3;5;35;52
3;6;71;83
3;7;66;81
3;8;43;65
3;9;33;52
3;10;14;37
3;11;50;76
3;12;90;99
3;13;45;62
3;14;46;70
4;1;67;79
4;3;71;84
4;4;0;0
4;5;57;71
4;6;14;37
4;7;12;36
4;8;32;51
4;9;62;67
4;10;58;71
4;11;41;58
4;12;23;43
4;13;52;66
4;14;32;57
5;1;42;63
5;3;36;53
5;4;59;72
5;5;0;0
5;6;59;70
5;7;53;68
5;8;28;49
5;9;60;73
5;10;37;57
5;11;27;48
5;12;77;85
5;13;11;33
5;14;45;63
6;1;67;75
6;3;70;81
6;4;14;37
6;5;57;67
6;6;0;0
6;7;11;31
6;8;32;47
6;9;62;66
6;10;57;68
6;11;41;55
6;12;37;53
6;13;51;62
6;14;42;54
7;1;60;70
7;3;63;76
7;4;12;35
7;5;50;63
7;6;13;33
7;7;0;0
7;8;25;43
7;9;55;61
7;10;50;63
7;11;34;50
7;12;30;48
7;13;44;58
7;14;23;48
8;1;40;59
8;3;43;65
8;4;31;49
8;5;28;49
8;6;32;47
8;7;26;45
8;8;0;0
8;9;51;62
8;10;30;52
8;11;18;40
8;12;50;63
8;13;22;44
8;14;18;38
9;1;27;42
9;3;33;50
9;4;61;66
9;5;60;73
9;6;62;65
9;7;54;61
9;8;48;58
9;9;0;0
9;10;26;41
9;11;65;72
9;12;79;80
9;13;56;70
9;14;36;48
10;1;16;37
10;3;15;36
10;4;58;72
10;5;38;58
10;6;59;69
10;7;53;67
10;8;31;51
10;9;27;41
10;10;0;0
10;11;37;60
10;12;77;85
10;13;30;54
10;14;36;58
11;1;50;68
11;3;53;74
11;4;41;58
11;5;26;47
11;6;42;55
11;7;36;53
11;8;16;37
11;9;60;74
11;10;37;60
11;11;0;0
11;12;60;71
11;13;20;42
11;14;34;50
12;1;87;92
12;3;90;97
12;4;23;43
12;5;77;84
12;6;38;52
12;7;32;49
12;8;51;64
12;9;81;81
12;10;77;84
12;11;60;71
12;12;0;0
12;13;71;79
12;14;51;70
13;1;45;65
13;3;46;64
13;4;50;66
13;5;11;32
13;6;51;64
13;7;45;62
13;8;20;43
13;9;56;71
13;10;31;55
13;11;16;42
13;12;69;80
13;13;0;0
13;14;36;57
14;1;39;59
14;3;45;67
14;4;35;55
14;5;43;60
14;6;35;53
14;7;23;47
14;8;17;37
14;9;37;49
14;10;35;55
14;11;34;51
14;12;53;69
14;13;37;55
14;14;0;0
2;1;300;300
2;3;300;300
2;4;300;300
2;5;300;300
2;6;300;300
2;7;300;300
2;8;300;300
2;9;300;300
2;10;300;300
2;11;300;300
2;12;300;300
2;13;300;300
2;14;300;300
1;2;300;300
3;2;10;35
4;2;67;79
5;2;42;63
6;2;67;75
7;2;60;70
8;2;40;59
9;2;27;42
10;2;16;37
11;2;50;68
12;2;87;92
13;2;45;65
14;2;39;59
2;2;300;300
