ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;38;57
1;4;70;80
1;5;49;65
1;6;76;87
1;7;17;39
1;8;69;83
1;9;42;60
1;10;39;55
1;11;40;59
1;12;14;35
1;13;43;60
1;14;52;65
1;15;26;44
1;16;46;61
1;17;59;70
1;18;63;75
3;1;34;55
3;3;0;0
3;4;41;57
3;5;27;44
3;6;51;65
3;7;34;56
3;8;32;53
3;9;8;28
3;10;19;39
3;11;27;48
3;12;31;53
3;13;30;52
3;14;27;44
3;15;22;44
3;16;20;37
3;17;34;49
3;18;38;53
4;1;67;79
4;3;43;57
4;4;0;0
4;5;37;52
4;6;58;72
4;7;61;75
4;8;14;43
4;9;38;55
4;10;39;55
4;11;46;65
4;12;61;76
4;13;54;69
4;14;34;50
4;15;46;62
4;16;27;44
4;17;41;56
4;18;45;60
5;1;46;62
5;3;26;45
5;4;37;53
5;5;0;0
5;6;26;46
5;7;39;59
5;8;36;56
5;9;19;41
5;10;12;33
5;11;16;36
5;12;40;60
5;13;23;42
5;14;4;25
5;15;25;46
5;16;12;32
5;17;9;29
5;18;13;34
6;1;73;85
6;3;50;65
6;4;62;71
6;5;26;45
6;6;0;0
6;7;66;81
6;8;54;73
6;9;45;62
6;10;36;56
6;11;40;58
6;12;67;82
6;13;48;64
6;14;26;45
6;15;52;68
6;16;35;53
6;17;22;41
6;18;26;46
7;1;16;37
7;3;35;56
7;4;60;75
7;5;34;57
7;6;60;80
7;7;0;0
7;8;59;77
7;9;32;54
7;10;26;49
7;11;26;48
7;12;7;30
7;13;29;51
7;14;42;59
7;15;13;35
7;16;36;55
7;17;43;64
7;18;47;68
8;1;63;76
8;3;27;52
8;4;15;40
8;5;32;50
8;6;54;70
8;7;57;73
8;8;0;0
8;9;24;52
8;10;35;53
8;11;42;62
8;12;57;74
8;13;50;67
8;14;30;48
8;15;42;59
8;16;23;42
8;17;37;53
8;18;41;58
9;1;41;58
9;3;8;28
9;4;39;55
9;5;21;41
9;6;46;61
9;7;34;55
9;8;26;53
9;9;0;0
9;10;14;36
9;11;22;45
9;12;34;56
9;13;27;49
9;14;22;40
9;15;19;41
9;16;14;33
9;17;29;45
9;18;33;50
10;1;36;53
10;3;19;39
10;4;38;55
10;5;10;31
10;6;35;55
10;7;29;49
10;8;37;58
10;9;13;35
10;10;0;0
10;11;9;32
10;12;29;50
10;13;14;39
10;14;13;34
10;15;15;36
10;16;14;35
10;17;19;38
10;18;22;43
11;1;39;57
11;3;28;50
11;4;44;63
11;5;15;34
11;6;40;57
11;7;28;51
11;8;42;66
11;9;22;46
11;10;9;33
11;11;0;0
11;12;33;55
11;13;7;29
11;14;17;36
11;15;17;39
11;16;20;43
11;17;23;41
11;18;27;45
12;1;12;34
12;3;31;53
12;4;61;76
12;5;41;60
12;6;67;82
12;7;7;31
12;8;60;78
12;9;33;55
12;10;30;50
12;11;32;54
12;12;0;0
12;13;35;55
12;14;44;60
12;15;17;40
12;16;38;56
12;17;50;66
12;18;54;70
13;1;41;59
13;3;29;53
13;4;53;69
13;5;21;40
13;6;47;63
13;7;29;53
13;8;52;72
13;9;25;49
13;10;15;40
13;11;7;29
13;12;34;56
13;13;0;0
13;14;24;43
13;15;18;41
13;16;29;49
13;17;30;47
13;18;34;51
14;1;47;64
14;3;29;46
14;4;36;52
14;5;3;24
14;6;25;44
14;7;41;60
14;8;34;55
14;9;22;43
14;10;13;35
14;11;17;37
14;12;41;61
14;13;25;43
14;14;0;0
14;15;26;47
14;16;15;34
14;17;8;28
14;18;12;33
15;1;25;45
15;3;24;46
15;4;48;63
15;5;25;47
15;6;53;69
15;7;12;35
15;8;46;65
15;9;19;42
15;10;16;38
15;11;16;39
15;12;16;39
15;13;19;41
15;14;30;47
15;15;0;0
15;16;24;43
15;17;36;53
15;18;40;57
16;1;44;59
16;3;17;35
16;4;28;46
16;5;13;33
16;6;37;54
16;7;37;56
16;8;20;46
16;9;12;33
16;10;15;36
16;11;22;45
16;12;37;57
16;13;31;50
16;14;13;33
16;15;22;42
16;16;0;0
16;17;19;37
16;18;24;43
17;1;54;69
17;3;33;49
17;4;39;55
17;5;10;29
17;6;22;43
17;7;48;66
17;8;37;57
17;9;28;46
17;10;20;40
17;11;24;43
17;12;48;67
17;13;31;49
17;14;8;30
17;15;33;53
17;16;18;36
17;17;0;0
17;18;7;28
18;1;61;73
18;3;38;53
18;4;44;60
18;5;14;34
18;6;26;46
18;7;54;70
18;8;43;62
18;9;32;51
18;10;24;45
18;11;28;47
18;12;54;71
18;13;35;53
18;14;13;34
18;15;39;56
18;16;23;41
18;17;7;29
18;18;0;0
2;1;600;600
2;3;600;600
2;4;600;600
2;5;600;600
2;6;600;600
2;7;600;600
2;8;600;600
2;9;600;600
2;10;600;600
2;11;600;600
2;12;600;600
2;13;600;600
2;14;600;600
2;15;600;600
2;16;600;600
2;17;600;600
2;18;600;600
1;2;600;600
3;2;34;55
4;2;67;79
5;2;46;62
6;2;73;85
7;2;16;37
8;2;63;76
9;2;41;58
10;2;36;53
11;2;39;57
12;2;12;34
13;2;41;59
14;2;47;64
15;2;25;45
16;2;44;59
17;2;54;69
18;2;61;73
2;2;600;600
