ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;331;306
1;4;55;70
1;5;54;70
1;6;61;74
1;7;34;54
1;8;134;141
1;9;52;68
1;10;47;66
1;11;55;74
1;12;62;79
1;13;62;73
1;14;44;60
1;15;373;363
3;1;329;311
3;3;0;0
3;4;281;272
3;5;279;269
3;6;280;271
3;7;314;300
3;8;437;399
3;9;280;272
3;10;297;285
3;11;295;288
3;12;288;277
3;13;281;271
3;14;290;279
3;15;91;95
4;1;54;70
4;3;281;265
4;4;0;0
4;5;7;28
4;6;11;33
4;7;41;61
4;8;160;162
4;9;11;34
4;10;24;45
4;11;30;49
4;12;18;37
4;13;11;32
4;14;15;39
4;15;362;331
5;1;51;69
5;3;278;263
5;4;9;31
5;5;0;0
5;6;6;29
5;7;39;57
5;8;163;163
5;9;5;27
5;10;22;42
5;11;18;43
5;12;13;33
5;13;7;28
5;14;13;36
5;15;359;330
6;1;59;73
6;3;280;265
6;4;12;35
6;5;7;30
6;6;0;0
6;7;44;62
6;8;166;167
6;9;10;33
6;10;27;47
6;11;21;47
6;12;14;36
6;13;2;24
6;14;20;41
6;15;361;332
7;1;36;59
7;3;312;292
7;4;38;56
7;5;36;56
7;6;42;60
7;7;0;0
7;8;157;165
7;9;34;53
7;10;20;41
7;11;22;44
7;12;30;49
7;13;43;59
7;14;35;55
7;15;393;358
8;1;132;146
8;3;439;404
8;4;162;169
8;5;164;171
8;6;168;174
8;7;158;172
8;8;0;0
8;9;160;170
8;10;161;175
8;11;169;183
8;12;176;180
8;13;168;174
8;14;151;160
8;15;476;416
9;1;48;65
9;3;280;264
9;4;9;32
9;5;4;26
9;6;11;32
9;7;35;54
9;8;159;162
9;9;0;0
9;10;19;38
9;11;19;43
9;12;17;37
9;13;11;32
9;14;10;32
9;15;362;331
10;1;45;65
10;3;295;278
10;4;21;42
10;5;20;42
10;6;26;46
10;7;22;43
10;8;160;168
10;9;17;39
10;10;0;0
10;11;8;29
10;12;24;45
10;13;26;45
10;14;19;42
10;15;377;344
11;1;53;74
11;3;296;282
11;4;32;52
11;5;19;44
11;6;24;49
11;7;22;43
11;8;168;177
11;9;21;45
11;10;8;29
11;11;0;0
11;12;16;36
11;13;21;46
11;14;27;51
11;15;377;349
12;1;67;79
12;3;288;271
12;4;20;40
12;5;14;34
12;6;16;37
12;7;32;51
12;8;175;173
12;9;17;38
12;10;23;44
12;11;15;36
12;12;0;0
12;13;15;35
12;14;28;47
12;15;370;337
13;1;60;72
13;3;281;264
13;4;13;34
13;5;6;27
13;6;3;25
13;7;42;60
13;8;167;166
13;9;9;31
13;10;28;46
13;11;20;44
13;12;14;34
13;13;0;0
13;14;21;40
13;15;362;331
14;1;42;59
14;3;288;273
14;4;13;38
14;5;14;37
14;6;19;41
14;7;37;58
14;8;150;153
14;9;13;35
14;10;21;42
14;11;29;51
14;12;27;47
14;13;19;41
14;14;0;0
14;15;335;333
15;1;371;360
15;3;90;96
15;4;361;336
15;5;359;334
15;6;360;336
15;7;368;363
15;8;475;413
15;9;360;336
15;10;355;347
15;11;375;352
15;12;368;341
15;13;361;335
15;14;335;331
15;15;0;0
2;1;999;999
2;3;999;999
2;4;999;999
2;5;999;999
2;6;999;999
2;7;999;999
2;8;999;999
2;9;999;999
2;10;999;999
2;11;999;999
2;12;999;999
2;13;999;999
2;14;999;999
2;15;999;999
1;2;999;999
3;2;329;311
4;2;54;70
5;2;51;69
6;2;59;73
7;2;36;59
8;2;132;146
9;2;48;65
10;2;45;65
11;2;53;74
12;2;67;79
13;2;60;72
14;2;42;59
15;2;371;360
2;2;999;999
