ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;72;84
1;4;70;80
1;5;352;344
1;6;331;306
1;7;65;73
1;8;41;59
1;9;45;63
1;10;62;73
1;11;40;57
1;12;19;39
1;13;6;26
1;14;92;110
1;15;54;67
1;16;181;166
1;17;44;61
1;18;43;60
1;19;98;119
1;20;51;67
3;1;70;82
3;3;0;0
3;4;52;68
3;5;309;283
3;6;260;244
3;7;47;61
3;8;41;60
3;9;46;66
3;10;22;42
3;11;32;52
3;12;61;76
3;13;75;86
3;14;135;145
3;15;36;54
3;16;163;154
3;17;43;59
3;18;44;62
3;19;140;154
3;20;22;43
4;1;67;79
4;3;54;69
4;4;0;0
4;5;286;293
4;6;281;265
4;7;7;30
4;8;52;68
4;9;56;73
4;10;44;59
4;11;40;56
4;12;59;73
4;13;72;82
4;14;118;130
4;15;20;40
4;16;118;123
4;17;39;55
4;18;54;69
4;19;124;138
4;20;39;56
5;1;350;340
5;3;308;289
5;4;286;291
5;5;0;0
5;6;65;75
5;7;292;296
5;8;347;325
5;9;353;331
5;10;328;307
5;11;338;317
5;12;341;335
5;13;355;344
5;14;344;373
5;15;303;302
5;16;308;262
5;17;322;317
5;18;351;327
5;19;344;371
5;20;328;308
6;1;330;311
6;3;262;253
6;4;281;269
6;5;67;76
6;6;0;0
6;7;287;274
6;8;301;289
6;9;306;296
6;10;282;271
6;11;292;281
6;12;322;306
6;13;335;315
6;14;396;370
6;15;298;281
6;16;371;312
6;17;303;288
6;18;305;291
6;19;401;378
6;20;282;272
7;1;63;72
7;3;50;63
7;4;7;30
7;5;292;298
7;6;287;269
7;7;0;0
7;8;48;62
7;9;51;66
7;10;39;52
7;11;35;50
7;12;54;66
7;13;68;76
7;14;114;125
7;15;16;34
7;16;117;116
7;17;35;48
7;18;50;63
7;19;119;133
7;20;34;50
8;1;40;58
8;3;39;58
8;4;47;67
8;5;347;318
8;6;298;280
8;7;42;60
8;8;0;0
8;9;5;29
8;10;29;47
8;11;11;35
8;12;27;50
8;13;44;61
8;14;112;129
8;15;29;53
8;16;157;153
8;17;26;50
8;18;2;23
8;19;117;138
8;20;19;41
9;1;44;65
9;3;47;66
9;4;57;75
9;5;355;327
9;6;306;288
9;7;52;68
9;8;6;30
9;9;0;0
9;10;37;56
9;11;17;45
9;12;31;57
9;13;40;64
9;14;117;137
9;15;41;61
9;16;168;161
9;17;31;57
9;18;5;27
9;19;122;145
9;20;27;49
10;1;60;72
10;3;22;42
10;4;43;59
10;5;330;303
10;6;281;264
10;7;38;51
10;8;31;50
10;9;36;56
10;10;0;0
10;11;22;42
10;12;51;67
10;13;65;76
10;14;125;136
10;15;27;45
10;16;154;144
10;17;33;49
10;18;34;52
10;19;130;144
10;20;10;31
11;1;37;55
11;3;32;53
11;4;38;56
11;5;340;313
11;6;291;275
11;7;33;49
11;8;12;38
11;9;17;44
11;10;22;42
11;11;0;0
11;12;29;50
11;13;42;59
11;14;110;127
11;15;20;42
11;16;149;142
11;17;17;39
11;18;15;40
11;19;115;136
11;20;12;35
12;1;17;39
12;3;55;75
12;4;59;73
12;5;363;336
12;6;315;297
12;7;54;66
12;8;26;48
12;9;30;52
12;10;45;65
12;11;26;48
12;12;0;0
12;13;22;42
12;14;89;110
12;15;43;59
12;16;170;159
12;17;32;55
12;18;28;49
12;19;95;118
12;20;35;58
13;1;6;29
13;3;74;87
13;4;72;83
13;5;354;346
13;6;333;308
13;7;67;76
13;8;43;62
13;9;39;64
13;10;64;76
13;11;42;60
13;12;18;42
13;13;0;0
13;14;94;113
13;15;55;69
13;16;182;169
13;17;45;64
13;18;45;62
13;19;99;122
13;20;53;70
14;1;90;115
14;3;136;153
14;4;120;138
14;5;345;373
14;6;397;373
14;7;115;132
14;8;113;136
14;9;116;141
14;10;126;142
14;11;111;131
14;12;90;116
14;13;95;119
14;14;0;0
14;15;112;132
14;16;134;152
14;17;95;116
14;18;115;137
14;19;8;35
14;20;117;138
15;1;50;64
15;3;37;54
15;4;23;42
15;5;305;306
15;6;296;276
15;7;18;35
15;8;35;53
15;9;39;58
15;10;27;44
15;11;23;41
15;12;42;58
15;13;55;67
15;14;110;125
15;15;0;0
15;16;133;128
15;17;18;38
15;18;37;54
15;19;116;133
15;20;21;41
16;1;177;155
16;3;164;146
16;4;124;116
16;5;308;262
16;6;370;310
16;7;117;108
16;8;162;145
16;9;166;149
16;10;154;135
16;11;150;133
16;12;169;149
16;13;182;158
