ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;52;65
1;4;49;67
1;5;36;55
1;6;88;100
1;7;47;63
1;8;24;43
1;9;69;82
1;10;40;57
1;11;241;217
1;12;39;57
1;13;44;61
1;14;47;66
1;15;52;68
3;1;48;64
3;3;0;0
3;4;29;47
3;5;30;47
3;6;111;119
3;7;5;26
3;8;29;51
3;9;18;41
3;10;16;38
3;11;191;175
3;12;25;46
3;13;25;42
3;14;18;38
3;15;7;29
4;1;53;73
4;3;29;46
4;4;0;0
4;5;18;36
4;6;126;136
4;7;28;47
4;8;38;60
4;9;14;37
4;10;38;59
4;11;208;189
4;12;40;62
4;13;12;32
4;14;13;35
4;15;26;45
5;1;36;57
5;3;33;49
5;4;17;36
5;5;0;0
5;6;111;123
5;7;31;48
5;8;31;55
5;9;31;52
5;10;34;56
5;11;221;201
5;12;33;57
5;13;11;30
5;14;19;39
5;15;33;51
6;1;85;99
6;3;112;118
6;4;123;135
6;5;112;125
6;6;0;0
6;7;109;118
6;8;91;104
6;9;129;134
6;10;97;105
6;11;295;268
6;12;94;104
6;13;119;131
6;14;114;127
6;15;114;122
7;1;45;62
7;3;5;25
7;4;28;47
7;5;30;47
7;6;109;117
7;7;0;0
7;8;27;50
7;9;21;42
7;10;12;34
7;11;193;177
7;12;20;43
7;13;24;42
7;14;18;37
7;15;6;28
8;1;21;41
8;3;29;50
8;4;34;56
8;5;29;50
8;6;89;102
8;7;26;48
8;8;0;0
8;9;45;67
8;10;21;42
8;11;217;201
8;12;20;43
8;13;30;52
8;14;24;48
8;15;28;51
9;1;66;79
9;3;18;39
9;4;15;36
9;5;28;47
9;6;128;132
9;7;21;41
9;8;49;66
9;9;0;0
9;10;35;53
9;11;197;182
9;12;41;59
9;13;22;43
9;14;24;46
9;15;16;38
10;1;38;54
10;3;16;37
10;4;35;55
10;5;32;53
10;6;98;107
10;7;12;33
10;8;20;41
10;9;33;54
10;10;0;0
10;11;205;188
10;12;8;30
10;13;31;50
10;14;25;45
10;15;17;38
11;1;237;217
11;3;189;177
11;4;207;193
11;5;217;201
11;6;299;265
11;7;192;180
11;8;220;205
11;9;196;186
11;10;206;191
11;11;0;0
11;12;212;198
11;13;212;196
11;14;205;191
11;15;189;178
12;1;37;55
12;3;26;44
12;4;36;60
12;5;31;54
12;6;91;104
12;7;21;42
12;8;19;42
12;9;42;61
12;10;9;30
12;11;215;195
12;12;0;0
12;13;31;55
12;14;25;50
12;15;25;47
13;1;50;66
13;3;22;39
13;4;6;26
13;5;11;30
13;6;118;128
13;7;20;38
13;8;30;52
13;9;20;42
13;10;30;51
13;11;211;191
13;12;32;54
13;13;0;0
13;14;8;30
13;15;23;42
14;1;45;65
14;3;17;37
14;4;13;35
14;5;17;37
14;6;114;127
14;7;15;36
14;8;25;50
14;9;26;50
14;10;22;48
14;11;205;189
14;12;25;51
14;13;11;32
14;14;0;0
14;15;17;39
15;1;48;65
15;3;5;26
15;4;23;47
15;5;31;48
15;6;113;121
15;7;5;26
15;8;29;52
15;9;17;40
15;10;16;38
15;11;190;175
15;12;24;46
15;13;25;43
15;14;19;38
15;15;0;0
2;1;700;700
2;3;700;700
2;4;700;700
2;5;700;700
2;6;700;700
2;7;700;700
2;8;700;700
2;9;700;700
2;10;700;700
2;11;700;700
2;12;700;700
2;13;700;700
2;14;700;700
2;15;700;700
1;2;700;700
3;2;48;64
4;2;53;73
5;2;36;57
6;2;85;99
7;2;45;62
8;2;21;41
9;2;66;79
10;2;38;54
11;2;237;217
12;2;37;55
13;2;50;66
14;2;45;65
15;2;48;65
2;2;700;700
