ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;16;36
1;4;111;117
1;5;70;82
1;6;86;82
1;7;49;63
1;8;42;58
1;9;14;34
1;10;44;59
1;11;62;73
1;12;21;42
1;13;10;34
1;14;8;30
3;1;15;34
3;3;0;0
3;4;99;107
3;5;58;72
3;6;99;94
3;7;37;54
3;8;30;48
3;9;3;24
3;10;32;50
3;11;50;64
3;12;14;35
3;13;13;34
3;14;21;42
4;1;109;112
4;3;100;105
4;4;0;0
4;5;44;56
4;6;194;171
4;7;68;77
4;8;71;82
4;9;102;107
4;10;69;80
4;11;61;72
4;12;106;111
4;13;112;118
4;14;116;119
5;1;68;80
5;3;59;73
5;4;44;59
5;5;0;0
5;6;153;140
5;7;27;46
5;8;30;51
5;9;61;75
5;10;28;48
5;11;20;40
5;12;66;80
5;13;71;86
5;14;75;88
6;1;87;84
6;3;99;94
6;4;194;175
6;5;153;140
6;6;0;0
6;7;131;121
6;8;124;116
6;9;97;93
6;10;126;118
6;11;145;132
6;12;104;100
6;13;93;92
6;14;90;88
7;1;44;60
7;3;36;53
7;4;69;82
7;5;28;47
7;6;129;119
7;7;0;0
7;8;8;30
7;9;37;55
7;10;10;32
7;11;20;38
7;12;49;66
7;13;48;66
7;14;51;67
8;1;41;58
8;3;32;51
8;4;71;84
8;5;30;50
8;6;126;118
8;7;9;31
8;8;0;0
8;9;34;53
8;10;3;25
8;11;22;41
8;12;45;64
8;13;44;64
8;14;48;66
9;1;13;34
9;3;3;24
9;4;102;110
9;5;61;76
9;6;98;93
9;7;39;57
9;8;32;51
9;9;0;0
9;10;35;53
9;11;53;67
9;12;14;35
9;13;11;32
9;14;16;40
10;1;41;58
10;3;32;51
10;4;70;84
10;5;29;50
10;6;126;118
10;7;8;31
10;8;4;25
10;9;34;53
10;10;0;0
10;11;21;41
10;12;45;64
10;13;44;64
10;14;48;66
11;1;60;72
11;3;51;65
11;4;61;75
11;5;20;40
11;6;145;132
11;7;18;38
11;8;22;42
11;9;53;67
11;10;20;40
11;11;0;0
11;12;55;71
11;13;63;78
11;14;67;80
12;1;22;45
12;3;13;34
12;4;108;116
12;5;67;81
12;6;107;105
12;7;49;67
12;8;42;61
12;9;13;34
12;10;45;63
12;11;59;73
12;12;0;0
12;13;16;35
12;14;19;43
13;1;10;35
13;3;13;35
13;4;112;122
13;5;71;87
13;6;94;94
13;7;50;69
13;8;43;63
13;9;10;33
13;10;45;65
13;11;63;79
13;12;14;33
13;13;0;0
13;14;7;32
14;1;8;33
14;3;20;43
14;4;115;124
14;5;74;89
14;6;93;92
14;7;52;70
14;8;45;65
14;9;15;41
14;10;47;66
14;11;66;80
14;12;18;41
14;13;6;33
14;14;0;0
2;1;500;500
2;3;500;500
2;4;500;500
2;5;500;500
2;6;500;500
2;7;500;500
2;8;500;500
2;9;500;500
2;10;500;500
2;11;500;500
2;12;500;500
2;13;500;500
2;14;500;500
1;2;500;500
3;2;15;34
4;2;109;112
5;2;68;80
6;2;87;84
7;2;44;60
8;2;41;58
9;2;13;34
10;2;41;58
11;2;60;72
12;2;22;45
13;2;10;35
14;2;8;33
2;2;500;500
