ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;44;62
1;4;166;156
1;5;70;82
1;6;132;137
1;7;63;73
1;8;159;149
1;9;12;36
1;10;62;74
1;11;5;25
1;12;30;49
1;13;83;98
3;1;44;60
3;3;0;0
3;4;134;129
3;5;39;56
3;6;138;141
3;7;22;45
3;8;128;122
3;9;45;64
3;10;31;47
3;11;48;62
3;12;45;66
3;13;52;71
4;1;159;144
4;3;130;121
4;4;0;0
4;5;144;133
4;6;170;180
4;7;102;100
4;8;216;186
4;9;160;148
4;10;135;125
4;11;163;147
4;12;163;150
4;13;156;149
5;1;69;84
5;3;42;62
5;4;148;146
5;5;0;0
5;6;175;174
5;7;45;63
5;8;94;95
5;9;70;88
5;10;21;44
5;11;74;87
5;12;58;76
5;13;13;36
6;1;129;142
6;3;135;144
6;4;170;180
6;5;174;178
6;6;0;0
6;7;152;156
6;8;265;242
6;9;133;148
6;10;165;169
6;11;134;144
6;12;150;161
6;13;187;193
7;1;57;67
7;3;28;44
7;4;109;114
7;5;42;56
7;6;152;152
7;7;0;0
7;8;118;114
7;9;58;71
7;10;33;47
7;11;61;70
7;12;61;72
7;13;55;72
8;1;157;148
8;3;129;126
8;4;205;189
8;5;94;95
8;6;262;233
8;7;115;110
8;8;0;0
8;9;158;152
8;10;108;108
8;11;161;151
8;12;145;140
8;13;78;86
9;1;13;37
9;3;41;64
9;4;164;158
9;5;69;84
9;6;132;141
9;7;62;75
9;8;158;150
9;9;0;0
9;10;60;75
9;11;7;32
9;12;27;44
9;13;81;99
10;1;60;72
10;3;32;50
10;4;139;134
10;5;20;40
10;6;165;162
10;7;36;51
10;8;108;107
10;9;61;76
10;10;0;0
10;11;64;75
10;12;45;63
10;13;32;56
11;1;7;31
11;3;47;67
11;4;169;162
11;5;73;88
11;6;135;142
11;7;66;79
11;8;162;154
11;9;7;30
11;10;65;79
11;11;0;0
11;12;25;43
11;13;86;103
12;1;31;53
12;3;44;69
12;4;169;161
12;5;57;73
12;6;151;155
12;7;66;78
12;8;146;140
12;9;24;44
12;10;46;64
12;11;26;47
12;12;0;0
12;13;70;89
13;1;82;93
13;3;54;71
13;4;153;152
13;5;15;34
13;6;187;183
13;7;58;72
13;8;79;83
13;9;83;97
13;10;34;53
13;11;86;96
13;12;70;85
13;13;0;0
2;1;550;550
2;2;550;550
2;3;550;550
2;4;550;550
2;5;550;550
2;6;550;550
2;7;550;550
2;8;550;550
2;9;550;550
2;10;550;550
2;11;550;550
2;12;550;550
2;13;550;550
1;2;550;550
3;2;44;60
4;2;159;144
5;2;69;84
6;2;129;142
7;2;57;67
8;2;157;148
9;2;13;37
10;2;60;72
11;2;7;31
12;2;31;53
13;2;82;93
