ORIGEM;DESTINO;DISTANCE;TIME
1;1;0;0
1;3;21;42
1;4;51;67
1;5;49;65
1;6;47;62
1;7;30;49
1;8;21;41
1;9;48;63
1;10;155;155
1;11;128;124
1;12;50;69
1;13;16;36
3;1;22;45
3;3;0;0
3;4;49;66
3;5;49;69
3;6;48;65
3;7;13;33
3;8;7;29
3;9;49;66
3;10;168;160
3;11;125;123
3;12;33;53
3;13;14;35
4;1;48;65
4;3;48;64
4;4;0;0
4;5;24;46
4;6;17;39
4;7;39;56
4;8;45;64
4;9;13;35
4;10;135;132
4;11;78;83
4;12;23;48
4;13;38;57
5;1;44;64
5;3;50;69
5;4;24;47
5;5;0;0
5;6;10;34
5;7;48;70
5;8;43;63
5;9;20;41
5;10;125;125
5;11;100;102
5;12;44;66
5;13;37;56
6;1;44;59
6;3;48;65
6;4;16;38
6;5;11;34
6;6;0;0
6;7;46;66
6;8;41;59
6;9;10;31
6;10;125;122
6;11;90;92
6;12;41;57
6;13;35;52
7;1;31;53
7;3;13;32
7;4;39;57
7;5;49;72
7;6;50;68
7;7;0;0
7;8;20;40
7;9;48;64
7;10;170;162
7;11;115;115
7;12;23;45
7;13;27;46
8;1;19;41
8;3;7;28
8;4;46;65
8;5;44;63
8;6;42;60
8;7;18;37
8;8;0;0
8;9;43;61
8;10;162;155
8;11;124;122
8;12;38;58
8;13;8;30
9;1;43;58
9;3;47;64
9;4;14;36
9;5;16;37
9;6;7;27
9;7;48;64
9;8;40;57
9;9;0;0
9;10;123;120
9;11;86;89
9;12;39;56
9;13;33;50
10;1;157;141
10;3;161;147
10;4;128;118
10;5;121;115
10;6;115;107
10;7;161;146
10;8;154;140
10;9;119;110
10;10;0;0
10;11;183;158
10;12;152;138
10;13;147;133
11;1;126;123
11;3;123;122
11;4;78;84
11;5;99;101
11;6;89;92
11;7;114;115
11;8;123;122
11;9;84;88
11;10;175;164
11;11;0;0
11;12;96;100
11;13;116;115
12;1;50;72
12;3;32;51
12;4;27;48
12;5;43;66
12;6;38;58
12;7;23;44
12;8;39;59
12;9;36;55
12;10;158;152
12;11;98;101
12;12;0;0
12;13;46;66
13;1;14;34
13;3;14;34
13;4;40;58
13;5;37;56
13;6;36;53
13;7;25;43
13;8;7;28
13;9;37;54
13;10;156;148
13;11;117;115
13;12;44;64
13;13;0;0
2;1;500;500
2;3;500;500
2;4;500;500
2;5;500;500
2;6;500;500
2;7;500;500
2;8;500;500
2;9;500;500
2;10;500;500
2;11;500;500
2;12;500;500
2;13;500;500
1;2;500;500
3;2;22;45
4;2;48;65
5;2;44;64
6;2;44;59
7;2;31;53
8;2;19;41
9;2;43;58
10;2;157;141
11;2;126;123
12;2;50;72
13;2;14;34
2;2;500;500
